unit,number,text,audio
unit2,127,篮球,audio/unit2/127.mp3
unit2,128,两,audio/unit2/128.mp3
unit2,129,每天,audio/unit2/129.mp3
unit2,130,面包,audio/unit2/130.mp3
unit2,131,那么,audio/unit2/131.mp3
unit2,132,片,audio/unit2/132.mp3
unit2,133,起床,audio/unit2/133.mp3
unit2,134,沙拉,audio/unit2/134.mp3
unit2,135,上课,audio/unit2/135.mp3
unit2,136,午饭,audio/unit2/136.mp3
unit2,137,香肠,audio/unit2/137.mp3
unit2,138,下午,audio/unit2/138.mp3
unit2,139,下学,audio/unit2/139.mp3
unit2,140,休息,audio/unit2/140.mp3
unit2,141,选修,audio/unit2/141.mp3
unit2,142,以后,audio/unit2/142.mp3
unit2,143,早饭,audio/unit2/143.mp3
unit2,144,只,audio/unit2/144.mp3
unit3,1,北,audio/unit3/001.mp3
unit3,2,北京,audio/unit3/002.mp3
unit3,3,北十八条,audio/unit3/003.mp3
unit3,4,车,audio/unit3/004.mp3
unit3,5,地铁,audio/unit3/005.mp3
unit3,6,拐,audio/unit3/006.mp3
unit3,7,火车,audio/unit3/007.mp3
unit3,8,近,audio/unit3/008.mp3
unit3,9,开水,audio/unit3/009.mp3
unit3,10,烤鸭,audio/unit3/010.mp3
unit3,11,离,audio/unit3/011.mp3
unit3,12,南北线,audio/unit3/012.mp3
unit3,13,普洱茶,audio/unit3/013.mp3
unit3,14,然后,audio/unit3/014.mp3
unit3,15,十字路口,audio/unit3/015.mp3
unit3,16,往,audio/unit3/016.mp3
unit3,17,西,audio/unit3/017.mp3
unit3,18,写,audio/unit3/018.mp3
unit3,19,学校,audio/unit3/019.mp3
unit3,20,一直,audio/unit3/020.mp3
unit3,21,用,audio/unit3/021.mp3
unit3,22,右,audio/unit3/022.mp3
unit3,23,远,audio/unit3/023.mp3
unit3,24,在,audio/unit3/024.mp3
unit3,25,怎么,audio/unit3/025.mp3
unit3,26,站,audio/unit3/026.mp3
unit3,27,种,audio/unit3/027.mp3
unit3,28,走,audio/unit3/028.mp3
unit3,29,左,audio/unit3/029.mp3
unit3,30,坐,audio/unit3/030.mp3
unit3,31,百,audio/unit3/031.mp3
unit3,32,菜,audio/unit3/032.mp3
unit3,33,参考书,audio/unit3/033.mp3
unit3,34,长城,audio/unit3/034.mp3
unit3,35,的,audio/unit3/035.mp3
unit3,36,电话,audio/unit3/036.mp3
unit3,37,电影,audio/unit3/037.mp3
unit3,38,对不起,audio/unit3/038.mp3
unit3,39,告诉,audio/unit3/039.mp3
unit3,40,给,audio/unit3/040.mp3
unit3,41,公里,audio/unit3/041.mp3
unit3,42,还是,audio/unit3/042.mp3
unit3,43,号码,audio/unit3/043.mp3
unit3,44,教,audio/unit3/044.mp3
unit3,45,集会,audio/unit3/045.mp3
unit3,46,空,audio/unit3/046.mp3
unit3,47,辣,audio/unit3/047.mp3
unit3,48,面积,audio/unit3/048.mp3
unit3,49,男生,audio/unit3/049.mp3
unit3,50,女生,audio/unit3/050.mp3
unit3,51,票,audio/unit3/051.mp3
unit3,52,平方,audio/unit3/052.mp3
unit3,53,葡萄酒,audio/unit3/053.mp3
unit3,54,千,audio/unit3/054.mp3
unit3,55,人口,audio/unit3/055.mp3
unit3,56,送,audio/unit3/056.mp3
unit3,57,甜,audio/unit3/057.mp3
unit3,58,万,audio/unit3/058.mp3
unit3,59,位,audio/unit3/059.mp3
unit3,60,位子,audio/unit3/060.mp3
unit3,61,乌龙茶,audio/unit3/061.mp3
unit3,62,现在,audio/unit3/062.mp3
unit3,63,消息,audio/unit3/063.mp3
unit3,64,亿,audio/unit3/064.mp3
unit3,65,座位,audio/unit3/065.mp3
unit3,66,左右,audio/unit3/066.mp3
unit3,67,帮,audio/unit3/067.mp3
unit3,68,暴风雨,audio/unit3/068.mp3
unit3,69,报告,audio/unit3/069.mp3
unit3,70,不过,audio/unit3/070.mp3
unit3,71,不行,audio/unit3/071.mp3
unit3,72,抽,audio/unit3/072.mp3
unit3,73,达夫,audio/unit3/073.mp3
unit3,74,东西,audio/unit3/074.mp3
unit3,75,分钟,audio/unit3/075.mp3
unit3,76,会,audio/unit3/076.mp3
unit3,77,教室,audio/unit3/077.mp3
unit3,78,驾照,audio/unit3/078.mp3
unit3,79,进来,audio/unit3/079.mp3
unit3,80,酒,audio/unit3/080.mp3
unit3,81,可以,audio/unit3/081.mp3
unit3,82,厉害,audio/unit3/082.mp3
unit3,83,米,audio/unit3/083.mp3
unit3,84,能,audio/unit3/084.mp3
unit3,85,生鱼片,audio/unit3/085.mp3
unit3,86,身体,audio/unit3/086.mp3
unit3,87,舒服,audio/unit3/087.mp3
unit3,88,小玲,audio/unit3/088.mp3
unit3,89,烟,audio/unit3/089.mp3
unit3,90,英文,audio/unit3/090.mp3
unit3,91,医院,audio/unit3/091.mp3
unit3,92,游,audio/unit3/092.mp3
unit3,93,游泳,audio/unit3/093.mp3
unit3,94,字,audio/unit3/094.mp3
unit3,95,做,audio/unit3/095.mp3
unit3,96,比,audio/unit3/096.mp3
unit3,97,大,audio/unit3/097.mp3
unit3,98,高,audio/unit3/098.mp3
unit3,99,跟,audio/unit3/099.mp3
unit3,100,更,audio/unit3/100.mp3
unit3,101,个子,audio/unit3/101.mp3
unit3,102,贵,audio/unit3/102.mp3
unit3,103,和,audio/unit3/103.mp3
unit3,104,黄豆,audio/unit3/104.mp3
unit3,105,件,audio/unit3/105.mp3
unit3,106,冷,audio/unit3/106.mp3
unit3,107,了解,audio/unit3/107.mp3
unit3,108,牛肉,audio/unit3/108.mp3
unit3,109,便宜,audio/unit3/109.mp3
unit3,110,情况,audio/unit3/110.mp3
unit3,111,水平,audio/unit3/111.mp3
unit3,112,样子,audio/unit3/112.mp3
unit3,113,一点儿,audio/unit3/113.mp3
unit3,114,营养,audio/unit3/114.mp3
unit3,115,一样,audio/unit3/115.mp3
unit3,116,有点儿,audio/unit3/116.mp3
unit3,117,昨天,audio/unit3/117.mp3
unit4,1,背,audio/unit4/001.mp3
unit4,2,传统,audio/unit4/002.mp3
unit4,3,大阪,audio/unit4/003.mp3
unit4,4,打算,audio/unit4/004.mp3
unit4,5,得,audio/unit4/005.mp3
unit4,6,饿,audio/unit4/006.mp3
unit4,7,发,audio/unit4/007.mp3
unit4,8,父母,audio/unit4/008.mp3
unit4,9,复习,audio/unit4/009.mp3
unit4,10,给,audio/unit4/010.mp3
unit4,11,功夫片,audio/unit4/011.mp3
unit4,12,功课,audio/unit4/012.mp3
unit4,13,海边,audio/unit4/013.mp3
unit4,14,寒假,audio/unit4/014.mp3
unit4,15,河南,audio/unit4/015.mp3
unit4,16,后天,audio/unit4/016.mp3
unit4,17,回,audio/unit4/017.mp3
unit4,18,加班,audio/unit4/018.mp3
unit4,19,介绍,audio/unit4/019.mp3
unit4,20,句子,audio/unit4/020.mp3
unit4,21,考试,audio/unit4/021.mp3
unit4,22,老家,audio/unit4/022.mp3
unit4,23,旅游,audio/unit4/023.mp3
unit4,24,美国,audio/unit4/024.mp3
unit4,25,女儿,audio/unit4/025.mp3
unit4,26,三不沾,audio/unit4/026.mp3
unit4,27,暑假,audio/unit4/027.mp3
unit4,28,想,audio/unit4/028.mp3
unit4,29,小学,audio/unit4/029.mp3
unit4,30,要,audio/unit4/030.mp3
unit4,31,一定,audio/unit4/031.mp3
unit4,32,应该,audio/unit4/032.mp3
unit4,33,一下,audio/unit4/033.mp3
unit4,34,邮件,audio/unit4/034.mp3
unit4,35,咱们,audio/unit4/035.mp3
unit4,36,找,audio/unit4/036.mp3
unit4,37,资料,audio/unit4/037.mp3
unit4,38,巴士,audio/unit4/038.mp3
unit4,39,杯子,audio/unit4/039.mp3
unit4,40,本店,audio/unit4/040.mp3
unit4,41,部,audio/unit4/041.mp3
unit4,42,衬衫,audio/unit4/042.mp3
unit4,43,穿,audio/unit4/043.mp3
unit4,44,从,audio/unit4/044.mp3
unit4,45,大概,audio/unit4/045.mp3
unit4,46,到,audio/unit4/046.mp3
unit4,47,多长时间,audio/unit4/047.mp3
unit4,48,多高,audio/unit4/048.mp3
unit4,49,多少钱,audio/unit4/049.mp3
unit4,50,多重,audio/unit4/050.mp3
unit4,51,分,audio/unit4/051.mp3
unit4,52,付,audio/unit4/052.mp3
unit4,53,公斤,audio/unit4/053.mp3
unit4,54,光临,audio/unit4/054.mp3
unit4,55,好看,audio/unit4/055.mp3
unit4,56,盒,audio/unit4/056.mp3
unit4,57,欢迎,audio/unit4/057.mp3
unit4,58,架,audio/unit4/058.mp3
unit4,59,减肥,audio/unit4/059.mp3
unit4,60,斤,audio/unit4/060.mp3
unit4,61,块,audio/unit4/061.mp3
unit4,62,卖,audio/unit4/062.mp3
unit4,63,毛,audio/unit4/063.mp3
unit4,64,明信片,audio/unit4/064.mp3
unit4,65,苹果,audio/unit4/065.mp3
unit4,66,钱,audio/unit4/066.mp3
unit4,67,铅笔,audio/unit4/067.mp3
unit4,68,日元,audio/unit4/068.mp3
unit4,69,试,audio/unit4/069.mp3
unit4,70,石头,audio/unit4/070.mp3
unit4,71,市中心,audio/unit4/071.mp3
unit4,72,挺,audio/unit4/072.mp3
unit4,73,信用卡,audio/unit4/073.mp3
unit4,74,一共,audio/unit4/074.mp3
unit4,75,纸巾,audio/unit4/075.mp3
unit4,76,珠穆朗玛峰,audio/unit4/076.mp3
unit4,77,百货商店,audio/unit4/077.mp3
unit4,78,别,audio/unit4/078.mp3
unit4,79,不见不散,audio/unit4/079.mp3
unit4,80,不要,audio/unit4/080.mp3
unit4,81,不用,audio/unit4/081.mp3
unit4,82,茶,audio/unit4/082.mp3
unit4,83,迟到,audio/unit4/083.mp3
unit4,84,打扫,audio/unit4/084.mp3
unit4,85,大声,audio/unit4/085.mp3
unit4,86,电影院,audio/unit4/086.mp3
unit4,87,动物,audio/unit4/087.mp3
unit4,88,动物园,audio/unit4/088.mp3
unit4,89,放,audio/unit4/089.mp3
unit4,90,飞机,audio/unit4/090.mp3
unit4,91,干净,audio/unit4/091.mp3
unit4,92,急,audio/unit4/092.mp3
unit4,93,见面,audio/unit4/093.mp3
unit4,94,客气,audio/unit4/094.mp3
unit4,95,口福,audio/unit4/095.mp3
unit4,96,浪费,audio/unit4/096.mp3
unit4,97,慢慢儿,audio/unit4/097.mp3
unit4,98,起飞,audio/unit4/098.mp3
unit4,99,上班,audio/unit4/099.mp3
unit4,100,上午,audio/unit4/100.mp3
unit4,101,时,audio/unit4/101.mp3
unit4,102,时间,audio/unit4/102.mp3
unit4,103,事,audio/unit4/103.mp3
unit4,104,说话,audio/unit4/104.mp3
unit4,105,它,audio/unit4/105.mp3
unit4,106,太了,audio/unit4/106.mp3
unit4,107,糖,audio/unit4/107.mp3
unit4,108,提,audio/unit4/108.mp3
unit4,109,晚上,audio/unit4/109.mp3
unit4,110,先,audio/unit4/110.mp3
unit4,111,圆山,audio/unit4/111.mp3
unit4,112,再,audio/unit4/112.mp3
unit4,113,包,audio/unit4/113.mp3
unit4,114,表,audio/unit4/114.mp3
unit4,115,尝,audio/unit4/115.mp3
unit4,116,法律系,audio/unit4/116.mp3
unit4,117,好吃,audio/unit4/117.mp3
unit4,118,画,audio/unit4/118.mp3
unit4,119,画儿,audio/unit4/119.mp3
unit4,120,讲,audio/unit4/120.mp3
unit4,121,借,audio/unit4/121.mp3
unit4,122,进,audio/unit4/122.mp3
unit4,123,累,audio/unit4/123.mp3
unit4,124,理科,audio/unit4/124.mp3
unit4,125,买,audio/unit4/125.mp3
unit4,126,漂亮,audio/unit4/126.mp3
unit4,127,请问,audio/unit4/127.mp3
unit4,128,设计,audio/unit4/128.mp3
unit4,129,申请,audio/unit4/129.mp3
unit4,130,手绢,audio/unit4/130.mp3
unit4,131,填,audio/unit4/131.mp3
unit4,132,题目,audio/unit4/132.mp3
unit4,133,文科,audio/unit4/133.mp3
unit4,134,系,audio/unit4/134.mp3
unit4,135,县,audio/unit4/135.mp3
unit4,136,新,audio/unit4/136.mp3
unit4,137,信,audio/unit4/137.mp3
unit4,138,衣服,audio/unit4/138.mp3
unit4,139,印刷,audio/unit4/139.mp3
unit4,140,脏,audio/unit4/140.mp3
unit4,141,助学金,audio/unit4/141.mp3
unit5,1,棒球,audio/unit5/001.mp3
unit5,2,比赛,audio/unit5/002.mp3
unit5,3,次,audio/unit5/003.mp3
unit5,4,菜包,audio/unit5/004.mp3
unit5,5,茶叶蛋,audio/unit5/005.mp3
unit5,6,得,audio/unit5/006.mp3
unit5,7,队,audio/unit5/007.mp3
unit5,8,反败为胜,audio/unit5/008.mp3
unit5,9,咖喱,audio/unit5/009.mp3
unit5,10,酱汤,audio/unit5/010.mp3
unit5,11,精彩,audio/unit5/011.mp3
unit5,12,局,audio/unit5/012.mp3
unit5,13,淋浴,audio/unit5/013.mp3
unit5,14,米饭,audio/unit5/014.mp3
unit5,15,盘,audio/unit5/015.mp3
unit5,16,泡,audio/unit5/016.mp3
unit5,17,视频,audio/unit5/017.mp3
unit5,18,书店,audio/unit5/018.mp3
unit5,19,水果,audio/unit5/019.mp3
unit5,20,碗,audio/unit5/020.mp3
unit5,21,玩儿,audio/unit5/021.mp3
unit5,22,温泉,audio/unit5/022.mp3
unit5,23,小说,audio/unit5/023.mp3
unit5,24,些,audio/unit5/024.mp3
unit5,25,行,audio/unit5/025.mp3
unit5,26,洗衣机,audio/unit5/026.mp3
unit5,27,一些,audio/unit5/027.mp3
unit5,28,病,audio/unit5/028.mp3
unit5,29,不一定,audio/unit5/029.mp3
unit5,30,从来,audio/unit5/030.mp3
unit5,31,点儿,audio/unit5/031.mp3
unit5,32,汾酒,audio/unit5/032.mp3
unit5,33,该,audio/unit5/033.mp3
unit5,34,告辞,audio/unit5/034.mp3
unit5,35,过,audio/unit5/035.mp3
unit5,36,好像,audio/unit5/036.mp3
unit5,37,花茶,audio/unit5/037.mp3
unit5,38,就,audio/unit5/038.mp3
unit5,39,渴,audio/unit5/039.mp3
unit5,40,龙井茶,audio/unit5/040.mp3
unit5,41,爬,audio/unit5/041.mp3
unit5,42,扑克,audio/unit5/042.mp3
unit5,43,山,audio/unit5/043.mp3
unit5,44,什么的,audio/unit5/044.mp3
unit5,45,睡觉,audio/unit5/045.mp3
unit5,46,问,audio/unit5/046.mp3
unit5,47,问题,audio/unit5/047.mp3
unit5,48,下班,audio/unit5/048.mp3
unit5,49,已经,audio/unit5/049.mp3
unit5,50,以前,audio/unit5/050.mp3
unit5,51,早,audio/unit5/051.mp3
unit5,52,这么,audio/unit5/052.mp3
unit5,53,中午,audio/unit5/053.mp3
unit5,54,座,audio/unit5/054.mp3
unit5,55,帮忙,audio/unit5/055.mp3
unit5,56,毕业,audio/unit5/056.mp3
unit5,57,电视,audio/unit5/057.mp3
unit5,58,干,audio/unit5/058.mp3
unit5,59,个月,audio/unit5/059.mp3
unit5,60,好玩儿,audio/unit5/060.mp3
unit5,61,觉得,audio/unit5/061.mp3
unit5,62,年,audio/unit5/062.mp3
unit5,63,散步,audio/unit5/063.mp3
unit5,64,首,audio/unit5/064.mp3
unit5,65,睡,audio/unit5/065.mp3
unit5,66,天,audio/unit5/066.mp3
unit5,67,听,audio/unit5/067.mp3
unit5,68,小时,audio/unit5/068.mp3
unit5,69,一会儿,audio/unit5/069.mp3
unit5,70,音乐,audio/unit5/070.mp3
unit5,71,游戏,audio/unit5/071.mp3
unit5,72,在,audio/unit5/072.mp3
unit5,73,正,audio/unit5/073.mp3
